group,class,sensitivity,specificity,fnr,ppv,f1,auc,support,model,n_samples
fusion_dropout/overall,NV,0.8550724637676733,0.9095773140712095,0.14492753623180904,0.9071938495327253,0.8803623762652226,0.9586764603252146,1932,fusion_dropout,
fusion_dropout/overall,BCC,0.8617234468920607,0.9703210175648181,0.1382765531059353,0.814393939392397,0.8373904571423901,0.9817545448255687,499,fusion_dropout,
fusion_dropout/overall,AK,0.7615384615326036,0.9828384636336195,0.23846153845970416,0.6111111111073388,0.6780821912821824,0.9743897072690317,130,fusion_dropout,
fusion_dropout/overall,BKL,0.7633587786240118,0.9589201877931458,0.23664122137344368,0.6818181818166322,0.7202881147459609,0.9503730930963219,393,fusion_dropout,
fusion_dropout/overall,DF,0.8888888888641976,0.9957503320050476,0.1111111111080247,0.6666666666527779,0.7619047613968254,0.9973845359303527,36,fusion_dropout,
fusion_dropout/overall,VASC,0.8947368420817176,0.9968110550090362,0.10526315789196677,0.7391304347665407,0.8095238090090703,0.998734212624306,38,fusion_dropout,
fusion_dropout/overall,SCC,0.6914893616947714,0.9897491232800135,0.3085106382945903,0.6310679611589216,0.6598984766517044,0.938427299703264,94,fusion_dropout,
fusion_dropout/overall,AGGREGATE,0.8029662734447431,,,,0.7585213638428061,0.9669326991110108,3801,fusion_dropout,
fusion_dropout/indian_profile,MEL,0.6458333333266059,0.9500959692880037,0.3541666666629774,0.7045454545374483,0.6739130429718808,0.910308701215611,96,fusion_dropout,617.0
fusion_dropout/indian_profile,NV,0.8865096359724057,0.7866666666614223,0.11349036402545291,0.928251121074152,0.9069003280853535,0.9220913633119201,467,fusion_dropout,617.0
fusion_dropout/indian_profile,BCC,0.7272727272066115,0.9851485148498595,0.2727272727024793,0.470588235266436,0.5714285709107143,0.9861986198619862,11,fusion_dropout,617.0
fusion_dropout/indian_profile,AK,0.9999999996666666,0.9967426710081486,0.0,0.59999999988,0.7499999993437498,1.0,3,fusion_dropout,617.0
fusion_dropout/indian_profile,BKL,0.7727272726921488,0.969747899158034,0.2272727272623967,0.4857142857004082,0.596491227575254,0.9243697478991597,22,fusion_dropout,617.0
fusion_dropout/indian_profile,DF,0.8181818181074381,0.9917491749158552,0.18181818180165288,0.6428571428112245,0.7199999994495999,0.9926492649264925,11,fusion_dropout,617.0
fusion_dropout/indian_profile,VASC,0.9999999996666666,0.9951140065130373,0.0,0.49999999991666666,0.666666666074074,1.0,3,fusion_dropout,617.0
fusion_dropout/indian_profile,SCC,0.99999999975,0.9967373572577541,0.0,0.6666666665555555,0.79999999936,0.9979608482871126,4,fusion_dropout,617.0
fusion_dropout/indian_profile,AGGREGATE,0.856315598436182,,,,0.7106749797788438,0.9666973181877853,617,fusion_dropout,617.0
fusion_dropout/western_profile,MEL,0.7499999999951924,0.9349397590338917,0.24999999999839745,0.8124999999943577,0.7799999994956002,0.9515600864998455,156,fusion_dropout,571.0
fusion_dropout/western_profile,NV,0.8124999999960938,0.9063360881517732,0.18749999999909855,0.832512315266835,0.8223844277199165,0.945208200890019,208,fusion_dropout,571.0
fusion_dropout/western_profile,BCC,0.934579439243602,0.9612068965496526,0.06542056074705214,0.8474576271114622,0.8888888883821826,0.9837657106026426,107,fusion_dropout,571.0
fusion_dropout/western_profile,AK,0.874999999890625,0.9875666074582814,0.124999999984375,0.49999999996428574,0.6363636358429752,0.9915630550621669,8,fusion_dropout,571.0
fusion_dropout/western_profile,BKL,0.8142857142740816,0.9640718562855008,0.18571428571163265,0.7599999999898667,0.7862068960414744,0.9593242087254064,70,fusion_dropout,571.0
fusion_dropout/western_profile,DF,0.0,0.9982456140333364,0.9999999989999999,0.0,0.0,0.9894736842105263,1,fusion_dropout,571.0
fusion_dropout/western_profile,VASC,0.7499999998125,0.9999999999982363,0.2499999999375,0.9999999996666666,0.8571428564081632,0.9995590828924164,4,fusion_dropout,571.0
fusion_dropout/western_profile,SCC,0.705882352899654,0.9981949458465736,0.2941176470415225,0.9230769230059171,0.7999999994555554,0.9580590358887237,17,fusion_dropout,571.0
fusion_dropout/western_profile,AGGREGATE,0.7052809383099035,,,,0.6963733383963688,0.9723141330964684,571,fusion_dropout,571.0
